
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:45:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:45:23) | ===> btop++ v.1.3.2
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:45:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:45:31) | ===> btop++ v.1.3.2
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:45:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:46:55) | ===> btop++ v.1.3.2
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:46:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:47:17) | ===> btop++ v.1.3.2
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:47:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:47:19) | ===> btop++ v.1.3.2
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:47:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:48:09) | ===> btop++ v.1.3.2
2024/07/16 (18:48:09) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:48:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:48:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:48:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
